Train Epoch: [1/50] Iters:[170/1093] gen_loss -3.9231, rec_loss 0.0319, lpips_loss 0.2796, g_loss -0.2830, disc_weight 0.4000, disc_adaptive_weight 14.9661, d_loss 0.7144, logits_real 0.2892, logits_fake 0.2829,
Train Epoch: [1/50] Iters:[180/1093] gen_loss -3.5887, rec_loss 0.0247, lpips_loss 0.2291, g_loss -0.2841, disc_weight 0.4000, disc_adaptive_weight 13.5199, d_loss 0.6941, logits_real 0.2863, logits_fake 0.2841,
Train Epoch: [1/50] Iters:[190/1093] gen_loss -3.2670, rec_loss 0.0200, lpips_loss 0.1978, g_loss -0.2839, disc_weight 0.4000, disc_adaptive_weight 12.2746, d_loss 0.6756, logits_real 0.2835, logits_fake 0.2840,
Train Epoch: [1/50] Iters:[200/1093] gen_loss -3.0027, rec_loss 0.0169, lpips_loss 0.1797, g_loss -0.2837, disc_weight 0.4000, disc_adaptive_weight 11.2787, d_loss 0.6590, logits_real 0.2812, logits_fake 0.2843,
Train Epoch: [1/50] Iters:[210/1093] gen_loss -2.7688, rec_loss 0.0145, lpips_loss 0.1689, g_loss -0.2837, disc_weight 0.4000, disc_adaptive_weight 10.4162, d_loss 0.6443, logits_real 0.2789, logits_fake 0.2837,
Train Epoch: [1/50] Iters:[220/1093] gen_loss -2.5754, rec_loss 0.0138, lpips_loss 0.1625, g_loss -0.2847, disc_weight 0.4000, disc_adaptive_weight 9.6706, d_loss 0.6322, logits_real 0.2767, logits_fake 0.2844,
Train Epoch: [1/50] Iters:[230/1093] gen_loss -2.5505, rec_loss 0.0131, lpips_loss 0.1583, g_loss -0.2842, disc_weight 0.4000, disc_adaptive_weight 9.5844, d_loss 0.6204, logits_real 0.2746, logits_fake 0.2844,
Train Epoch: [1/50] Iters:[240/1093] gen_loss -2.4050, rec_loss 0.0129, lpips_loss 0.1563, g_loss -0.2832, disc_weight 0.4000, disc_adaptive_weight 9.0841, d_loss 0.6092, logits_real 0.2729, logits_fake 0.2835,
Train Epoch: [1/50] Iters:[250/1093] gen_loss -2.0385, rec_loss 0.0125, lpips_loss 0.1544, g_loss -0.2819, disc_weight 0.4000, disc_adaptive_weight 7.8090, d_loss 0.5992, logits_real 0.2711, logits_fake 0.2816,
Train Epoch: [1/50] Iters:[260/1093] gen_loss -1.6769, rec_loss 0.0122, lpips_loss 0.1516, g_loss -0.2795, disc_weight 0.4000, disc_adaptive_weight 6.5736, d_loss 0.5895, logits_real 0.2699, logits_fake 0.2794,
Train Epoch: [1/50] Iters:[270/1093] gen_loss -1.3807, rec_loss 0.0119, lpips_loss 0.1488, g_loss -0.2769, disc_weight 0.4000, disc_adaptive_weight 5.5541, d_loss 0.5817, logits_real 0.2684, logits_fake 0.2773,
Train Epoch: [1/50] Iters:[280/1093] gen_loss -1.0907, rec_loss 0.0118, lpips_loss 0.1472, g_loss -0.2743, disc_weight 0.4000, disc_adaptive_weight 4.5407, d_loss 0.5743, logits_real 0.2670, logits_fake 0.2742,
Train Epoch: [1/50] Iters:[290/1093] gen_loss -0.9026, rec_loss 0.0114, lpips_loss 0.1455, g_loss -0.2712, disc_weight 0.4000, disc_adaptive_weight 3.9031, d_loss 0.5673, logits_real 0.2653, logits_fake 0.2712,
Train Epoch: [1/50] Iters:[300/1093] gen_loss -0.8312, rec_loss 0.0113, lpips_loss 0.1441, g_loss -0.2688, disc_weight 0.4000, disc_adaptive_weight 3.6778, d_loss 0.5610, logits_real 0.2638, logits_fake 0.2691,
Train Epoch: [1/50] Iters:[310/1093] gen_loss -0.8707, rec_loss 0.0113, lpips_loss 0.1435, g_loss -0.2667, disc_weight 0.4000, disc_adaptive_weight 3.8514, d_loss 0.5547, logits_real 0.2621, logits_fake 0.2667,
Train Epoch: [1/50] Iters:[320/1093] gen_loss -0.9298, rec_loss 0.0112, lpips_loss 0.1431, g_loss -0.2649, disc_weight 0.4000, disc_adaptive_weight 4.0977, d_loss 0.5486, logits_real 0.2607, logits_fake 0.2646,
Train Epoch: [1/50] Iters:[330/1093] gen_loss -1.0433, rec_loss 0.0111, lpips_loss 0.1430, g_loss -0.2635, disc_weight 0.4000, disc_adaptive_weight 4.5514, d_loss 0.5430, logits_real 0.2593, logits_fake 0.2630,
Train Epoch: [1/50] Iters:[340/1093] gen_loss -1.0986, rec_loss 0.0113, lpips_loss 0.1435, g_loss -0.2625, disc_weight 0.4000, disc_adaptive_weight 4.7819, d_loss 0.5380, logits_real 0.2581, logits_fake 0.2622,
Train Epoch: [1/50] Iters:[350/1093] gen_loss -1.1107, rec_loss 0.0113, lpips_loss 0.1437, g_loss -0.2614, disc_weight 0.4000, disc_adaptive_weight 4.8461, d_loss 0.5323, logits_real 0.2568, logits_fake 0.2607,
Train Epoch: [1/50] Iters:[360/1093] gen_loss -1.1222, rec_loss 0.0114, lpips_loss 0.1444, g_loss -0.2604, disc_weight 0.4000, disc_adaptive_weight 4.9102, d_loss 0.5275, logits_real 0.2557, logits_fake 0.2601,
Train Epoch: [1/50] Iters:[370/1093] gen_loss -1.0979, rec_loss 0.0116, lpips_loss 0.1452, g_loss -0.2591, disc_weight 0.4000, disc_adaptive_weight 4.8426, d_loss 0.5228, logits_real 0.2546, logits_fake 0.2587,
Train Epoch: [1/50] Iters:[380/1093] gen_loss -1.0490, rec_loss 0.0116, lpips_loss 0.1453, g_loss -0.2582, disc_weight 0.4000, disc_adaptive_weight 4.6706, d_loss 0.5182, logits_real 0.2536, logits_fake 0.2580,
Train Epoch: [1/50] Iters:[390/1093] gen_loss -1.0080, rec_loss 0.0115, lpips_loss 0.1441, g_loss -0.2576, disc_weight 0.4000, disc_adaptive_weight 4.5168, d_loss 0.5136, logits_real 0.2524, logits_fake 0.2569,
Train Epoch: [1/50] Iters:[400/1093] gen_loss -0.9633, rec_loss 0.0116, lpips_loss 0.1444, g_loss -0.2567, disc_weight 0.4000, disc_adaptive_weight 4.3602, d_loss 0.5103, logits_real 0.2512, logits_fake 0.2561,
Train Epoch: [1/50] Iters:[410/1093] gen_loss -0.9247, rec_loss 0.0116, lpips_loss 0.1445, g_loss -0.2552, disc_weight 0.4000, disc_adaptive_weight 4.2381, d_loss 0.5067, logits_real 0.2501, logits_fake 0.2545,
Train Epoch: [1/50] Iters:[420/1093] gen_loss -0.9521, rec_loss 0.0114, lpips_loss 0.1442, g_loss -0.2542, disc_weight 0.4000, disc_adaptive_weight 4.3603, d_loss 0.5030, logits_real 0.2488, logits_fake 0.2538,
Train Epoch: [1/50] Iters:[430/1093] gen_loss -0.9423, rec_loss 0.0115, lpips_loss 0.1438, g_loss -0.2533, disc_weight 0.4000, disc_adaptive_weight 4.3363, d_loss 0.4998, logits_real 0.2476, logits_fake 0.2530,
Train Epoch: [1/50] Iters:[440/1093] gen_loss -0.9012, rec_loss 0.0116, lpips_loss 0.1444, g_loss -0.2521, disc_weight 0.4000, disc_adaptive_weight 4.1949, d_loss 0.4967, logits_real 0.2466, logits_fake 0.2521,
Train Epoch: [1/50] Iters:[450/1093] gen_loss -0.9240, rec_loss 0.0114, lpips_loss 0.1431, g_loss -0.2508, disc_weight 0.4000, disc_adaptive_weight 4.3002, d_loss 0.4931, logits_real 0.2456, logits_fake 0.2510,
Train Epoch: [1/50] Iters:[460/1093] gen_loss -0.9001, rec_loss 0.0113, lpips_loss 0.1423, g_loss -0.2497, disc_weight 0.4000, disc_adaptive_weight 4.2178, d_loss 0.4895, logits_real 0.2445, logits_fake 0.2501,
