Train Epoch: [1/10] Iters:[170/20018] gen_loss -0.6823, rec_loss 0.0241, lpips_loss 0.1815, g_loss -0.2844, disc_weight 0.4000, disc_adaptive_weight 3.1258, d_loss 0.7127, logits_real 0.2823, logits_fake 0.2844,
Train Epoch: [1/10] Iters:[180/20018] gen_loss -0.6504, rec_loss 0.0239, lpips_loss 0.1798, g_loss -0.2817, disc_weight 0.4000, disc_adaptive_weight 3.0326, d_loss 0.6936, logits_real 0.2800, logits_fake 0.2820,
Train Epoch: [1/10] Iters:[190/20018] gen_loss -0.6156, rec_loss 0.0239, lpips_loss 0.1796, g_loss -0.2798, disc_weight 0.4000, disc_adaptive_weight 2.9263, d_loss 0.6768, logits_real 0.2782, logits_fake 0.2798,
Train Epoch: [1/10] Iters:[200/20018] gen_loss -0.5822, rec_loss 0.0238, lpips_loss 0.1791, g_loss -0.2773, disc_weight 0.4000, disc_adaptive_weight 2.8274, d_loss 0.6615, logits_real 0.2759, logits_fake 0.2773,
Train Epoch: [1/10] Iters:[210/20018] gen_loss -0.5835, rec_loss 0.0237, lpips_loss 0.1777, g_loss -0.2750, disc_weight 0.4000, disc_adaptive_weight 2.8553, d_loss 0.6477, logits_real 0.2738, logits_fake 0.2751,
Train Epoch: [1/10] Iters:[220/20018] gen_loss -0.5401, rec_loss 0.0236, lpips_loss 0.1773, g_loss -0.2733, disc_weight 0.4000, disc_adaptive_weight 2.7139, d_loss 0.6360, logits_real 0.2720, logits_fake 0.2732,
Train Epoch: [1/10] Iters:[230/20018] gen_loss -0.5690, rec_loss 0.0235, lpips_loss 0.1778, g_loss -0.2712, disc_weight 0.4000, disc_adaptive_weight 2.8438, d_loss 0.6249, logits_real 0.2698, logits_fake 0.2713,
Train Epoch: [1/10] Iters:[240/20018] gen_loss -0.5816, rec_loss 0.0242, lpips_loss 0.1788, g_loss -0.2694, disc_weight 0.4000, disc_adaptive_weight 2.9128, d_loss 0.6161, logits_real 0.2679, logits_fake 0.2694,
Train Epoch: [1/10] Iters:[250/20018] gen_loss -0.6110, rec_loss 0.0237, lpips_loss 0.1782, g_loss -0.2676, disc_weight 0.4000, disc_adaptive_weight 3.0378, d_loss 0.6075, logits_real 0.2660, logits_fake 0.2677,
Train Epoch: [1/10] Iters:[260/20018] gen_loss -0.5982, rec_loss 0.0237, lpips_loss 0.1794, g_loss -0.2661, disc_weight 0.4000, disc_adaptive_weight 3.0115, d_loss 0.6001, logits_real 0.2645, logits_fake 0.2659,
Train Epoch: [1/10] Iters:[270/20018] gen_loss -0.6224, rec_loss 0.0238, lpips_loss 0.1788, g_loss -0.2643, disc_weight 0.4000, disc_adaptive_weight 3.1216, d_loss 0.5937, logits_real 0.2629, logits_fake 0.2642,
Train Epoch: [1/10] Iters:[280/20018] gen_loss -0.6462, rec_loss 0.0237, lpips_loss 0.1782, g_loss -0.2629, disc_weight 0.4000, disc_adaptive_weight 3.2275, d_loss 0.5876, logits_real 0.2612, logits_fake 0.2625,
Train Epoch: [1/10] Iters:[290/20018] gen_loss -0.6802, rec_loss 0.0232, lpips_loss 0.1769, g_loss -0.2611, disc_weight 0.4000, disc_adaptive_weight 3.3716, d_loss 0.5810, logits_real 0.2590, logits_fake 0.2609,
