step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,22.86347007751465,0.00372314453125,7.2913594245910645,5.528090476989746
2,1,15.67743968963623,0.00115966796875,1.9867076873779297,5.528090476989746
3,100,0.5052798986434937,0.235595703125,2404.233642578125,5.528090476989746
4,200,0.49378031492233276,0.24224853515625,2514.810302734375,5.528090476989746
5,300,0.4828087389469147,0.25189208984375,2628.985595703125,5.528090476989746
6,400,0.4745147228240967,0.25946044921875,2738.5712890625,5.528090476989746
7,500,0.46776843070983887,0.26812744140625,2854.561767578125,5.528090476989746
8,600,0.4610515534877777,0.27545166015625,2959.18212890625,5.528090476989746
9,700,0.45375311374664307,0.28497314453125,3080.05712890625,5.528090476989746
10,800,0.44697290658950806,0.29583740234375,3223.208740234375,5.528090476989746
11,900,0.4393903315067291,0.30914306640625,3394.55712890625,5.528090476989746
12,1000,0.4329712688922882,0.32122802734375,3575.34912109375,5.528090476989746
13,1100,0.4257485568523407,0.33831787109375,3768.003662109375,5.528090476989746
14,1200,0.4181120693683624,0.35748291015625,4009.51611328125,5.528090476989746
15,1300,0.41104698181152344,0.37677001953125,4253.33740234375,5.528090476989746
16,1400,0.4021066427230835,0.40191650390625,4568.05859375,5.528090476989746
17,1500,0.39187249541282654,0.43109130859375,4930.50537109375,5.528090476989746
18,1600,0.38137388229370117,0.46539306640625,5408.07177734375,5.528090476989746
19,1700,0.3690795302391052,0.51226806640625,6017.53857421875,5.528090476989746
20,1800,0.35403722524642944,0.57366943359375,6859.01904296875,5.528090476989746
21,1900,0.3361336588859558,0.65753173828125,8111.7744140625,5.528090476989746
22,2000,0.31023767590522766,0.7940673828125,10216.6337890625,5.528090476989746
