step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,0.270588755607605,0.99920654296875,14846.3994140625,0.021186821162700653
2,1,0.2705138027667999,0.999267578125,14868.3603515625,0.02212543785572052
3,100,0.2670210897922516,0.99932861328125,14903.2841796875,0.023270316421985626
4,200,0.2636294960975647,0.99908447265625,14939.513671875,0.023968186229467392
5,300,0.260898619890213,0.999267578125,14999.2587890625,0.0266635213047266
6,400,0.25821179151535034,0.99932861328125,15061.251953125,0.029875053092837334
7,500,0.2557997405529022,0.99951171875,15073.03515625,0.033176571130752563
8,600,0.2537725865840912,0.99951171875,15153.0849609375,0.034600816667079926
9,700,0.2522537112236023,0.999755859375,15169.625,0.03898528218269348
10,800,0.25012144446372986,0.99969482421875,15201.15234375,0.03956665098667145
11,900,0.24892652034759521,0.99969482421875,15246.958984375,0.04185027256608009
12,1000,0.2479809671640396,0.9998779296875,15276.2578125,0.046277664601802826
13,1100,0.24632635712623596,0.999755859375,15291.83984375,0.04661446064710617
14,1200,0.24562183022499084,0.99981689453125,15331.1044921875,0.04812775179743767
15,1300,0.24455398321151733,0.99981689453125,15345.77734375,0.051410358399152756
16,1400,0.24362944066524506,0.9996337890625,15355.8642578125,0.05422261729836464
17,1500,0.24270892143249512,0.99981689453125,15391.7109375,0.05396468564867973
18,1600,0.24178862571716309,0.99993896484375,15401.255859375,0.055667318403720856
19,1700,0.2412024289369583,0.9998779296875,15417.6259765625,0.057251203805208206
20,1800,0.24054384231567383,0.99993896484375,15436.900390625,0.05847650393843651
21,1900,0.23991042375564575,0.9998779296875,15465.810546875,0.06068103760480881
22,2000,0.23933753371238708,0.99981689453125,15475.9619140625,0.061487745493650436
