step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,322.0795593261719,0.000244140625,2.8882253170013428,19.79987144470215
2,1,5.681764125823975,6.103515625e-05,1.0,19.794925689697266
3,100,2.669420003890991,6.103515625e-05,1.0,19.82187843322754
4,200,2.666665554046631,6.103515625e-05,1.0,19.82269287109375
5,300,2.6674387454986572,6.103515625e-05,1.0,19.821773529052734
6,400,2.670546770095825,6.103515625e-05,1.0,19.821395874023438
7,500,2.6704206466674805,6.103515625e-05,1.0,19.822128295898438
8,600,2.6683754920959473,6.103515625e-05,1.0,19.82423973083496
9,700,2.66843581199646,6.103515625e-05,1.0,19.820993423461914
10,800,2.6656641960144043,6.103515625e-05,1.0,19.821149826049805
11,900,2.6654112339019775,6.103515625e-05,1.0,19.821226119995117
12,1000,2.6722187995910645,6.103515625e-05,1.0,19.821243286132812
13,1100,2.6658971309661865,6.103515625e-05,1.0,19.820802688598633
14,1200,2.6663756370544434,6.103515625e-05,1.0,19.822282791137695
15,1300,2.669525623321533,6.103515625e-05,1.0,19.822246551513672
16,1400,2.6710588932037354,6.103515625e-05,1.0,19.820581436157227
17,1500,2.6662051677703857,6.103515625e-05,1.0,19.820056915283203
18,1600,2.6646955013275146,6.103515625e-05,1.0,19.820920944213867
19,1700,2.6667604446411133,6.103515625e-05,1.0,19.821590423583984
20,1800,2.665696144104004,6.103515625e-05,1.0,19.821653366088867
21,1900,2.670868158340454,6.103515625e-05,1.0,19.821378707885742
22,2000,2.6669535636901855,6.103515625e-05,1.0,19.822967529296875
