step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,322.0795593261719,0.000244140625,2.8882253170013428,19.79987144470215
2,1,321.91412353515625,0.000244140625,2.8886611461639404,19.79525375366211
3,100,265.2742614746094,0.000244140625,2.905674695968628,18.133485794067383
4,200,209.27899169921875,0.00030517578125,2.941493511199951,16.30321502685547
5,300,159.9418487548828,0.00030517578125,2.992187738418579,14.471281051635742
6,400,117.3287582397461,0.00054931640625,3.09706974029541,12.64002513885498
7,500,81.43067932128906,0.0006103515625,3.2899887561798096,10.809687614440918
8,600,52.24346923828125,0.000732421875,3.716136932373047,8.980594635009766
9,700,29.681699752807617,0.001220703125,4.716737270355225,7.146430969238281
10,800,13.820084571838379,0.002197265625,7.67100191116333,5.31528377532959
11,900,4.505286693572998,0.0140380859375,26.46312141418457,3.4844439029693604
12,1000,0.8760442137718201,0.2894287109375,1024.060546875,1.653718113899231
13,1100,0.2706926167011261,0.99884033203125,14809.58984375,0.04936819523572922
14,1200,0.27052438259124756,0.99932861328125,14864.4482421875,0.009521085768938065
15,1300,0.27045249938964844,0.99945068359375,14844.5009765625,0.010924740694463253
16,1400,0.27065515518188477,0.99920654296875,14852.248046875,0.011374411173164845
17,1500,0.270445317029953,0.9991455078125,14866.3193359375,0.012975679710507393
18,1600,0.2703634202480316,0.99957275390625,14840.9345703125,0.010512053035199642
19,1700,0.2704467177391052,0.9990234375,14842.3779296875,0.00958013441413641
20,1800,0.2702781856060028,0.9993896484375,14847.431640625,0.010593356564640999
21,1900,0.27041980624198914,0.99945068359375,14872.1474609375,0.011283091269433498
22,2000,0.2703872323036194,0.99908447265625,14840.3115234375,0.012165529653429985
