step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,2.656278371810913,0.04730224609375,72.00508117675781,2.8293750286102295
2,1,0.9510748386383057,0.016357421875,167.1887664794922,143926.46875
3,100,0.6121770143508911,0.03375244140625,415.9040832519531,3.8970651626586914
4,200,0.4929482042789459,0.05816650390625,917.2859497070312,2.9306697845458984
5,300,0.48487240076065063,0.05877685546875,945.5606079101562,2.924121141433716
6,400,0.481541246175766,0.05914306640625,956.5738525390625,2.9211506843566895
7,500,0.47862353920936584,0.05999755859375,969.62255859375,2.9190547466278076
8,600,0.4767875671386719,0.060546875,979.7977905273438,2.918846368789673
9,700,0.47505271434783936,0.06134033203125,992.7504272460938,2.912752866744995
10,800,0.4723029136657715,0.06182861328125,1002.035888671875,2.9111878871917725
11,900,0.4708896279335022,0.06243896484375,1012.6686401367188,2.908912420272827
12,1000,0.4707967936992645,0.0628662109375,1019.6717529296875,2.906773090362549
13,1100,0.4693506956100464,0.0633544921875,1027.1092529296875,2.9051473140716553
14,1200,0.4675973951816559,0.06390380859375,1037.0828857421875,2.9038918018341064
15,1300,0.4662417769432068,0.064453125,1045.0469970703125,2.9030909538269043
16,1400,0.46544796228408813,0.0650634765625,1054.8778076171875,2.900012254714966
17,1500,0.4646250605583191,0.0653076171875,1060.6968994140625,2.897104263305664
18,1600,0.4630027711391449,0.06597900390625,1070.65771484375,2.8955700397491455
19,1700,0.4615934193134308,0.06671142578125,1081.5477294921875,2.8942110538482666
20,1800,0.46056413650512695,0.0675048828125,1092.3212890625,2.8917384147644043
21,1900,0.45930108428001404,0.0679931640625,1102.1932373046875,2.890294075012207
22,2000,0.4582183063030243,0.0684814453125,1110.5169677734375,2.889719009399414
