step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,90.64309692382812,0.0006103515625,3.2073307037353516,11.314597129821777
2,1,6.371227264404297,0.0001220703125,1.001603364944458,11.310670852661133
3,100,2.6679880619049072,6.103515625e-05,1.0,11.319169044494629
4,200,2.6666622161865234,6.103515625e-05,1.0,11.319988250732422
5,300,2.6674387454986572,6.103515625e-05,1.0,11.319074630737305
6,400,2.670546770095825,6.103515625e-05,1.0,11.318743705749512
7,500,2.6704206466674805,6.103515625e-05,1.0,11.319479942321777
8,600,2.6683754920959473,6.103515625e-05,1.0,11.321553230285645
9,700,2.66843581199646,6.103515625e-05,1.0,11.318357467651367
10,800,2.6656641960144043,6.103515625e-05,1.0,11.318408966064453
11,900,2.6654112339019775,6.103515625e-05,1.0,11.318520545959473
12,1000,2.6722187995910645,6.103515625e-05,1.0,11.318669319152832
13,1100,2.6658971309661865,6.103515625e-05,1.0,11.318084716796875
14,1200,2.6663756370544434,6.103515625e-05,1.0,11.319633483886719
15,1300,2.669525623321533,6.103515625e-05,1.0,11.319536209106445
16,1400,2.6710588932037354,6.103515625e-05,1.0,11.317840576171875
17,1500,2.6662051677703857,6.103515625e-05,1.0,11.317384719848633
18,1600,2.6646955013275146,6.103515625e-05,1.0,11.318256378173828
19,1700,2.6667604446411133,6.103515625e-05,1.0,11.318897247314453
20,1800,2.665696144104004,6.103515625e-05,1.0,11.318979263305664
21,1900,2.670868158340454,6.103515625e-05,1.0,11.318684577941895
22,2000,2.6669535636901855,6.103515625e-05,1.0,11.320228576660156
