step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,0.270588755607605,0.99920654296875,14846.3994140625,0.021186821162700653
2,1,0.2699422538280487,0.9993896484375,14922.7109375,0.024331767112016678
3,100,0.26065000891685486,0.99957275390625,15058.236328125,0.03225720301270485
4,200,0.25368732213974,0.99969482421875,15169.3662109375,0.04043716937303543
5,300,0.24886542558670044,0.99981689453125,15277.4091796875,0.048037778586149216
6,400,0.24524334073066711,0.99993896484375,15347.9130859375,0.05490284040570259
7,500,0.2425546497106552,0.9998779296875,15398.2294921875,0.05978529155254364
8,600,0.24035999178886414,0.99981689453125,15478.30859375,0.06275945156812668
9,700,0.23905588686466217,1.0,15509.0869140625,0.06640085577964783
10,800,0.23732733726501465,0.99993896484375,15523.6181640625,0.06707528978586197
11,900,0.23623605072498322,1.0,15559.677734375,0.06876706331968307
12,1000,0.23572935163974762,1.0,15576.173828125,0.07209677994251251
13,1100,0.2345811426639557,0.99993896484375,15578.134765625,0.07107722759246826
14,1200,0.23423388600349426,1.0,15615.55859375,0.07157345116138458
15,1300,0.23352819681167603,1.0,15621.1884765625,0.07352867722511292
16,1400,0.23304305970668793,0.99993896484375,15627.029296875,0.07461204379796982
17,1500,0.23243270814418793,1.0,15646.1767578125,0.07323478162288666
18,1600,0.23193499445915222,1.0,15632.306640625,0.07328580319881439
19,1700,0.2316606640815735,1.0,15646.8330078125,0.07362078130245209
20,1800,0.23157265782356262,1.0,15665.4072265625,0.0736112967133522
21,1900,0.2310127317905426,1.0,15665.01953125,0.07490965723991394
22,2000,0.2309572398662567,0.99993896484375,15662.5693359375,0.07414982467889786
