step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,431.22259521484375,0.00018310546875,2.8687727451324463,22.6282958984375
2,1,4.84142541885376,6.103515625e-05,1.0,22.623018264770508
3,100,2.6695852279663086,6.103515625e-05,1.0,22.653879165649414
4,200,2.6666648387908936,6.103515625e-05,1.0,22.654693603515625
5,300,2.667438268661499,6.103515625e-05,1.0,22.65377426147461
6,400,2.670546770095825,6.103515625e-05,1.0,22.653390884399414
7,500,2.6704206466674805,6.103515625e-05,1.0,22.65412139892578
8,600,2.6683754920959473,6.103515625e-05,1.0,22.656238555908203
9,700,2.66843581199646,6.103515625e-05,1.0,22.652982711791992
10,800,2.6656641960144043,6.103515625e-05,1.0,22.653152465820312
11,900,2.6654112339019775,6.103515625e-05,1.0,22.653228759765625
12,1000,2.6722187995910645,6.103515625e-05,1.0,22.653221130371094
13,1100,2.6658968925476074,6.103515625e-05,1.0,22.652803421020508
14,1200,2.6663756370544434,6.103515625e-05,1.0,22.65427589416504
15,1300,2.669525623321533,6.103515625e-05,1.0,22.65424919128418
16,1400,2.6710588932037354,6.103515625e-05,1.0,22.652587890625
17,1500,2.6662051677703857,6.103515625e-05,1.0,22.65205192565918
18,1600,2.6646955013275146,6.103515625e-05,1.0,22.65291404724121
19,1700,2.6667604446411133,6.103515625e-05,1.0,22.65359115600586
20,1800,2.665696144104004,6.103515625e-05,1.0,22.653648376464844
21,1900,2.670868158340454,6.103515625e-05,1.0,22.653379440307617
22,2000,2.6669535636901855,6.103515625e-05,1.0,22.654977798461914
