step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,16.267221450805664,0.00189208984375,6.8307085037231445,5.6577630043029785
2,1,3.046541690826416,0.02447509765625,7.165186405181885,2.5056538581848145
3,100,0.5602020025253296,0.08929443359375,779.7796630859375,1.371336579322815
4,200,0.4650953710079193,0.1339111328125,1455.6563720703125,1.4138654470443726
5,300,0.41903749108314514,0.1700439453125,2064.515625,1.2170284986495972
6,400,0.39163467288017273,0.198486328125,2573.324462890625,1.2307672500610352
7,500,0.3723861575126648,0.22418212890625,3013.49755859375,1.1318556070327759
8,600,0.3576373755931854,0.25042724609375,3451.3564453125,1.0920567512512207
9,700,0.34622880816459656,0.27581787109375,3878.39599609375,0.9565368294715881
10,800,0.3358583450317383,0.30035400390625,4264.6044921875,1.0364577770233154
11,900,0.3276001811027527,0.32403564453125,4651.0400390625,0.9233836531639099
12,1000,0.32057300209999084,0.3472900390625,5007.3564453125,1.0410271883010864
13,1100,0.31421515345573425,0.369140625,5353.2685546875,0.9651815295219421
14,1200,0.30872711539268494,0.3905029296875,5704.6357421875,1.0608594417572021
15,1300,0.30368050932884216,0.412353515625,6036.47802734375,0.9683020114898682
16,1400,0.2992379665374756,0.4334716796875,6352.830078125,0.9974260330200195
17,1500,0.2954036295413971,0.4532470703125,6677.63720703125,0.8815465569496155
18,1600,0.29121941328048706,0.47265625,6986.95361328125,1.0148296356201172
19,1700,0.2878481447696686,0.4920654296875,7302.52294921875,1.1929020881652832
20,1800,0.28469064831733704,0.51080322265625,7591.126953125,0.838530957698822
21,1900,0.28165894746780396,0.52923583984375,7892.75537109375,0.6686225533485413
22,2000,0.2786897122859955,0.5457763671875,8165.3134765625,0.9723047018051147
