step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,2.500140428543091,0.44049072265625,1134.821533203125,2.835855007171631
2,1,2.4580795764923096,0.46234130859375,1255.691650390625,2.4004530906677246
3,100,1.3534555435180664,0.917236328125,7853.23876953125,1.122023582458496
4,200,1.2412668466567993,0.9437255859375,9206.5927734375,1.0577436685562134
5,300,1.1856350898742676,0.9593505859375,9998.11328125,1.00489342212677
6,400,1.1574112176895142,0.96527099609375,10569.099609375,0.9646399617195129
7,500,1.1301417350769043,0.970703125,10944.939453125,0.9308257699012756
8,600,1.1120551824569702,0.97119140625,11271.4208984375,0.8925650119781494
9,700,1.0947282314300537,0.973388671875,11548.326171875,0.8580424189567566
10,800,1.0824671983718872,0.97747802734375,11815.7841796875,0.8242955207824707
11,900,1.0723447799682617,0.9803466796875,12021.7421875,0.7958207130432129
12,1000,1.0680586099624634,0.9794921875,12170.4013671875,0.7763447761535645
13,1100,1.0582236051559448,0.98248291015625,12336.1357421875,0.748371958732605
14,1200,1.0555579662322998,0.9840087890625,12489.4091796875,0.7265903949737549
15,1300,1.0483181476593018,0.98541259765625,12628.1494140625,0.6999397873878479
16,1400,1.0428842306137085,0.98565673828125,12725.4580078125,0.6833570003509521
17,1500,1.0333296060562134,0.98858642578125,12869.212890625,0.6570035815238953
18,1600,1.0330326557159424,0.989990234375,12999.16015625,0.6357845664024353
19,1700,1.0302212238311768,0.9892578125,13088.4140625,0.6192278861999512
20,1800,1.0271297693252563,0.99163818359375,13187.419921875,0.5975927710533142
21,1900,1.0189956426620483,0.99151611328125,13273.408203125,0.5805131793022156
22,2000,1.0186105966567993,0.9921875,13351.4228515625,0.5649131536483765
