step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,31.854429244995117,0.009521484375,11.54068660736084,8.492557525634766
2,1,4.552282810211182,0.0040283203125,36.08851623535156,252865.21875
3,100,2.7084879875183105,0.025146484375,240.1136932373047,9.667135238647461
4,200,2.2929234504699707,0.02667236328125,429.1934509277344,8.572160720825195
5,300,2.2771401405334473,0.02667236328125,430.474853515625,8.573953628540039
6,400,2.2818174362182617,0.02667236328125,430.9977722167969,8.575127601623535
7,500,2.275660276412964,0.02667236328125,431.4543151855469,8.580013275146484
8,600,2.275679111480713,0.02667236328125,431.62506103515625,8.575813293457031
9,700,2.2676584720611572,0.02667236328125,431.2899475097656,8.573594093322754
10,800,2.270798444747925,0.02667236328125,431.6225891113281,8.570694923400879
11,900,2.267263889312744,0.02667236328125,431.23626708984375,8.569046020507812
12,1000,2.2730414867401123,0.02667236328125,431.6575927734375,8.577286720275879
13,1100,2.270062208175659,0.02667236328125,431.56951904296875,8.575932502746582
14,1200,2.2737677097320557,0.02667236328125,431.4341125488281,8.577107429504395
15,1300,2.2730214595794678,0.02667236328125,431.654296875,8.573805809020996
16,1400,2.269547700881958,0.02667236328125,431.43328857421875,8.57794189453125
17,1500,2.26069974899292,0.02667236328125,431.4378356933594,8.57304859161377
18,1600,2.2662596702575684,0.0267333984375,432.1844482421875,8.572105407714844
19,1700,2.269019842147827,0.0267333984375,432.5947570800781,8.574274063110352
20,1800,2.269831657409668,0.02679443359375,432.542724609375,8.571227073669434
21,1900,2.2585206031799316,0.02679443359375,433.2877502441406,8.574833869934082
22,2000,2.2612295150756836,0.02679443359375,433.5285339355469,8.57628345489502
