step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,56.43204879760742,0.0111083984375,11.808919906616211,8.709511756896973
2,1,13.421334266662598,0.00592041015625,3.17724609375,8.709511756896973
3,100,1.77744460105896,0.19091796875,1834.574462890625,8.709511756896973
4,200,1.7614113092422485,0.19732666015625,1921.3427734375,8.709511756896973
5,300,1.742972731590271,0.2037353515625,1995.0272216796875,8.709511756896973
6,400,1.7267334461212158,0.2109375,2075.703369140625,8.709511756896973
7,500,1.7055127620697021,0.22125244140625,2189.4658203125,8.709511756896973
8,600,1.6824389696121216,0.22894287109375,2290.836669921875,8.709511756896973
9,700,1.6634080410003662,0.238525390625,2408.107177734375,8.709511756896973
10,800,1.6426572799682617,0.24951171875,2529.90380859375,8.709511756896973
11,900,1.61859929561615,0.26092529296875,2651.78173828125,8.709511756896973
12,1000,1.5959945917129517,0.2760009765625,2814.2470703125,8.709511756896973
13,1100,1.570011019706726,0.29241943359375,3014.60693359375,8.709511756896973
14,1200,1.539748191833496,0.31591796875,3250.540283203125,8.709511756896973
15,1300,1.503403902053833,0.341552734375,3556.190185546875,8.709511756896973
16,1400,1.4668301343917847,0.3798828125,3989.40380859375,8.709511756896973
17,1500,1.4101746082305908,0.43365478515625,4600.12109375,8.709511756896973
18,1600,1.3443564176559448,0.51422119140625,5616.0009765625,8.709511756896973
19,1700,1.23789381980896,0.66912841796875,7643.5615234375,8.709511756896973
20,1800,1.0721557140350342,0.9696044921875,13289.6962890625,8.709511756896973
21,1900,1.051680326461792,0.9942626953125,14578.09765625,8.709511756896973
22,2000,1.0556706190109253,0.99395751953125,14570.1611328125,8.709511756896973
