step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,119.02568054199219,0.00262451171875,2.6231026649475098,14.149380683898926
2,1,5.981213569641113,0.00140380859375,10.017376899719238,253964.671875
3,100,3.8220343589782715,0.0035400390625,52.1268196105957,14.896279335021973
4,200,3.6059651374816895,0.003662109375,59.89794921875,14.314414024353027
5,300,3.589209794998169,0.003662109375,59.933231353759766,14.315791130065918
6,400,3.595365285873413,0.003662109375,59.93280792236328,14.316468238830566
7,500,3.5900661945343018,0.003662109375,59.95158386230469,14.321419715881348
8,600,3.5893714427948,0.003662109375,59.95730209350586,14.317691802978516
9,700,3.5796730518341064,0.003662109375,59.955875396728516,14.315244674682617
10,800,3.58487868309021,0.003662109375,59.95466995239258,14.312272071838379
11,900,3.582120418548584,0.003662109375,59.95473098754883,14.311408996582031
12,1000,3.587616205215454,0.003662109375,59.944549560546875,14.319723129272461
13,1100,3.58233642578125,0.003662109375,59.955387115478516,14.31805419921875
14,1200,3.5838260650634766,0.003662109375,59.94987106323242,14.320054054260254
15,1300,3.585357666015625,0.003662109375,59.94786834716797,14.315282821655273
16,1400,3.5837697982788086,0.003662109375,59.946922302246094,14.319742202758789
17,1500,3.5702121257781982,0.003662109375,59.952152252197266,14.31508731842041
18,1600,3.579383373260498,0.003662109375,59.94229507446289,14.314508438110352
19,1700,3.586864948272705,0.003662109375,59.940494537353516,14.316286087036133
20,1800,3.58599591255188,0.003662109375,59.94375228881836,14.314021110534668
21,1900,3.5714120864868164,0.003662109375,59.948665618896484,14.318690299987793
22,2000,3.5780014991760254,0.003662109375,59.943267822265625,14.318683624267578
