step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,1.052964448928833,0.99615478515625,14714.3232421875,0.03663800284266472
2,1,1.054580569267273,0.99530029296875,14705.4013671875,0.0356009379029274
3,100,1.0439729690551758,0.9959716796875,14752.21875,0.015111121349036694
4,200,1.0349551439285278,0.9959716796875,14774.111328125,0.016298098489642143
5,300,1.026964545249939,0.99554443359375,14796.123046875,0.013932188041508198
6,400,1.0233187675476074,0.99639892578125,14830.23828125,0.015532408840954304
7,500,1.0178453922271729,0.9970703125,14850.732421875,0.012120558880269527
8,600,1.0143382549285889,0.99749755859375,14878.6171875,0.011819727718830109
9,700,1.0080666542053223,0.99652099609375,14852.884765625,0.018402917310595512
10,800,1.0074013471603394,0.99627685546875,14863.28515625,0.017646942287683487
11,900,1.0019726753234863,0.9970703125,14885.470703125,0.017232978716492653
12,1000,1.00259530544281,0.997314453125,14901.564453125,0.015733644366264343
13,1100,0.9994093775749207,0.99774169921875,14886.3232421875,0.014231996610760689
14,1200,0.9987180829048157,0.9976806640625,14891.1796875,0.01770436204969883
15,1300,0.9965740442276001,0.99755859375,14876.1201171875,0.02011093869805336
16,1400,0.9954838752746582,0.997802734375,14877.169921875,0.016752025112509727
17,1500,0.9898313879966736,0.99810791015625,14884.6767578125,0.013042195700109005
18,1600,0.9922541379928589,0.9976806640625,14881.3544921875,0.015517816878855228
19,1700,0.9913772344589233,0.99786376953125,14902.857421875,0.01334060076624155
20,1800,0.9908251166343689,0.99847412109375,14907.1787109375,0.018745649605989456
21,1900,0.9864360690116882,0.9984130859375,14881.1005859375,0.015051275491714478
22,2000,0.9867813587188721,0.9979248046875,14883.001953125,0.018460996448993683
