step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,31.854429244995117,0.009521484375,11.54068660736084,8.492557525634766
2,1,8.818061828613281,0.00579833984375,1.1509318351745605,8.489302635192871
3,100,4.670141696929932,0.0042724609375,19.543699264526367,8.478957176208496
4,200,4.430935382843018,0.00482177734375,24.48946762084961,8.473325729370117
5,300,4.255471229553223,0.0042724609375,29.314388275146484,8.475038528442383
6,400,4.09429931640625,0.006591796875,34.259490966796875,8.473719596862793
7,500,4.08556604385376,0.00579833984375,34.33601379394531,8.478593826293945
8,600,4.057061195373535,0.0050048828125,35.79070281982422,8.47445297241211
9,700,3.9607348442077637,0.0048828125,39.24093246459961,8.472212791442871
10,800,3.9265506267547607,0.00494384765625,40.73716735839844,8.467036247253418
11,900,3.8483996391296387,0.00506591796875,43.99431610107422,8.46668529510498
12,1000,3.7922170162200928,0.00567626953125,47.453861236572266,8.471653938293457
13,1100,3.768097400665283,0.00665283203125,48.35452651977539,8.469533920288086
14,1200,3.771338701248169,0.0054931640625,48.574310302734375,8.470824241638184
15,1300,3.736260414123535,0.00537109375,50.861572265625,8.466204643249512
16,1400,3.6966099739074707,0.006103515625,52.892948150634766,8.471636772155762
17,1500,3.658632755279541,0.0059814453125,54.493255615234375,8.46679401397705
18,1600,3.642948627471924,0.00604248046875,56.03508758544922,8.46463680267334
19,1700,3.628157138824463,0.0064697265625,57.430511474609375,8.466728210449219
20,1800,3.6167280673980713,0.0057373046875,58.56976318359375,8.463790893554688
21,1900,3.5772218704223633,0.00689697265625,60.37055587768555,8.465875625610352
22,2000,3.5739736557006836,0.00604248046875,60.95753860473633,8.466379165649414
