step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,268.81939697265625,0.0013427734375,1.4787404537200928,19.806222915649414
2,1,22.262840270996094,0.011474609375,4.303909778594971,5.707238674163818
3,100,2.690073013305664,0.01861572265625,247.35397338867188,3.024212598800659
4,200,2.3146631717681885,0.03125,459.2605285644531,2.727360486984253
5,300,2.1253437995910645,0.04345703125,640.0686645507812,2.984403133392334
6,400,2.006495952606201,0.0556640625,837.3572998046875,2.5957183837890625
7,500,1.9050298929214478,0.06781005859375,1033.2249755859375,2.7689037322998047
8,600,1.8346573114395142,0.07989501953125,1220.35009765625,2.6641905307769775
9,700,1.7696465253829956,0.09173583984375,1388.9022216796875,2.9809916019439697
10,800,1.7202668190002441,0.10369873046875,1582.0006103515625,2.633122205734253
11,900,1.67013418674469,0.11541748046875,1773.89208984375,2.1294291019439697
12,1000,1.635452151298523,0.1268310546875,1942.8194580078125,2.3687562942504883
13,1100,1.6016583442687988,0.13800048828125,2103.544677734375,2.218977689743042
14,1200,1.576304316520691,0.14910888671875,2286.054931640625,2.7591702938079834
15,1300,1.54681396484375,0.16064453125,2470.9755859375,2.168602466583252
16,1400,1.518991231918335,0.17156982421875,2654.7724609375,2.857243299484253
17,1500,1.4909948110580444,0.1826171875,2834.560546875,2.164787530899048
18,1600,1.4734015464782715,0.19342041015625,3001.565673828125,2.273784637451172
19,1700,1.4551193714141846,0.2041015625,3180.038818359375,2.3104846477508545
20,1800,1.4362536668777466,0.21417236328125,3335.31640625,1.9720433950424194
21,1900,1.4149612188339233,0.22442626953125,3491.134033203125,2.147341728210449
22,2000,1.4028241634368896,0.2342529296875,3635.796875,2.1829309463500977
