step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,367.5773620605469,0.00103759765625,1.3054901361465454,22.634645462036133
2,1,285.6536865234375,0.00018310546875,2.004143238067627,22.629741668701172
3,100,8.009369850158691,6.103515625e-05,1.0,22.671667098999023
4,200,8.000015258789062,6.103515625e-05,1.0,22.667678833007812
5,300,7.988337993621826,6.103515625e-05,1.0,22.670778274536133
6,400,8.00549602508545,6.103515625e-05,1.0,22.670774459838867
7,500,8.001481056213379,6.103515625e-05,1.0,22.676118850708008
8,600,8.007349014282227,6.103515625e-05,1.0,22.67230224609375
9,700,7.9830322265625,6.103515625e-05,1.0,22.671228408813477
10,800,7.999337196350098,6.103515625e-05,1.0,22.66673469543457
11,900,7.9896087646484375,6.103515625e-05,1.0,22.666990280151367
12,1000,8.01047134399414,6.103515625e-05,1.0,22.673038482666016
13,1100,7.998894691467285,6.103515625e-05,1.0,22.67147445678711
14,1200,8.00979232788086,6.103515625e-05,1.0,22.672971725463867
15,1300,8.009748458862305,6.103515625e-05,1.0,22.669099807739258
16,1400,8.00230884552002,6.103515625e-05,1.0,22.6750545501709
17,1500,7.978926181793213,6.103515625e-05,1.0,22.670862197875977
18,1600,7.993704795837402,6.103515625e-05,1.0,22.669185638427734
19,1700,8.013154029846191,6.103515625e-05,1.0,22.67166519165039
20,1800,8.00959587097168,6.103515625e-05,1.0,22.66913604736328
21,1900,7.98898983001709,6.103515625e-05,1.0,22.672027587890625
22,2000,7.998934745788574,6.103515625e-05,1.0,22.67294692993164
