step,step,quant_error,codebook_utilization,codebook_perplexity,wasserstein_distance
1,0,10.780816078186035,0.0469970703125,47.887474060058594,5.664168357849121
2,1,7.434284687042236,0.0478515625,13.639303207397461,5.659698009490967
3,100,2.549199342727661,0.12066650390625,337.0942687988281,4.512997150421143
4,200,1.927733063697815,0.31146240234375,1172.24462890625,3.25901460647583
5,300,1.4494999647140503,0.67724609375,4006.40478515625,2.007763147354126
6,400,1.1183710098266602,0.977783203125,11275.3232421875,0.7572536468505859
7,500,1.0417304039001465,0.99493408203125,14622.333984375,0.011602458544075489
8,600,1.0343279838562012,0.99578857421875,14706.35546875,0.011941367760300636
9,700,1.0251327753067017,0.99462890625,14726.748046875,0.018392954021692276
10,800,1.0218335390090942,0.99542236328125,14774.365234375,0.017680851742625237
11,900,1.014854073524475,0.99554443359375,14801.484375,0.017360012978315353
12,1000,1.0136260986328125,0.996826171875,14846.9658203125,0.01584482565522194
13,1100,1.0093331336975098,0.9970703125,14837.4541015625,0.014020714908838272
14,1200,1.0070430040359497,0.99700927734375,14860.5927734375,0.017744414508342743
15,1300,1.0040597915649414,0.99676513671875,14869.0,0.0200865026563406
16,1400,1.001878023147583,0.99688720703125,14884.0234375,0.01669382117688656
17,1500,0.9956852793693542,0.9971923828125,14889.900390625,0.01323187630623579
18,1600,0.9972630739212036,0.997314453125,14894.9716796875,0.015751508995890617
19,1700,0.9963009357452393,0.99749755859375,14923.9208984375,0.013475405052304268
20,1800,0.9954063296318054,0.997802734375,14933.474609375,0.01858639158308506
21,1900,0.9906235933303833,0.99761962890625,14915.853515625,0.014954681508243084
22,2000,0.9906103014945984,0.99755859375,14915.3837890625,0.018464194610714912
